IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
propan-2-one;Acetone;DMK(ACE);InChI=1S/C3H6O/c1-3(2)4/h1-2H3;CC(C)=O;1.655;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
butan-2-one;Methyl ethyl ketone;MEK;InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3;CCC(C)=O;1.846;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
1-methylpyrrolidin-2-one;n-Methyl-2-pyrrolidone;NMP;InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3;CN1CCCC1=O;2.125;J. Electrochem. Soc. 2015,162 A3084 (DOI:10.1149/2.0121502jes)
1-phenylethanone;Acetophenone;;InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3;CC(=O)c1ccccc1;1.097;Journal of Power Sources,28,(1989),345-359(DOI:10.1016/0378-7753(89)80064-3)
ethoxyethane;Diethyl ether;DE(DEE2);InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3;CCOCC;1.906;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2-propan-2-yloxypropane;Diisopropyl ether;DIPE(DIE);InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3;CC(C)OC(C)C;2.306;Journal of Power Sources 551 (2022) 232211(DOI:10.1016/j.jpowsour.2022.232211)
1-butoxybutane;Dibutyl ether;DBE;InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3;CCCCOCCCC;1.644;Chem. Commun., 2018, 54, 5478-5481 (DOI: 10.1039/C8CC02552E)
2-methoxy-2-methylpropane;Methyl tert butyl ether;MTBE;InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3;COC(C)(C)C;2.060;J. Electrochem. Soc. 2015,162 A3084 (DOI:10.1149/2.0121502jes)
1,4-dioxane;1,4-Dioxane;1,4-DX(DIOX);InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2;C1COCCO1;2.231;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017) (DOI:10.1149/2.0211702jes)
oxolane;Tetrahydrofuran;THF;InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2;C1CCOC1;2.026;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl acetate;Methyl acetate;MA;InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3;COC(C)=O;1.736;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl acetate;Ethyl acetate;EA;InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3;CCOC(C)=O;1.756;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
propan-2-yl acetate;Isopropyl acetate;iPA;InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3;CC(=O)OC(C)C;2.060;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
butyl acetate;n-Butyl acetate;nBA;InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3;CCCCOC(C)=O;1.654;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
N,N-dimethylformamide;Dimethylformamide;DMF;InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3;CN(C)C=O;2.664;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
N,N-dimethylacetamide;Dimethylacetamide;DMA;InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3;CC(=O)N(C)C;1.982;Energy Technol. 2025, 2500556(DOI:10.1002/ente.202500556)
methylsulfinylmethane;Dimethylsulphoxide;DMSO;InChI=1S/C2H6OS/c1-4(2)3/h1-2H3;CS(C)=O;3.111;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
thiolane 1,1-dioxide;Sulfolane;SFL(SL,TMS);InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2;O=S1(=O)CCCC1;2.689;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
nitrobenzene;Nitrobenzene;;InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H;O=[N+]([O-])c1ccccc1;1.317;Chem. Mater. 2021, 33, 3, 978?986
pyridine;Pyridine;;InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H;c1ccncc1;1.372;Angew. Chem. Int. Ed. 2023, 62, e202302302(DOI:10.1002/anie.202302302)
2-nitropropane;2-Nitropropane;;InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3;CC(C)[N+](=O)[O-];2.559;Radin, N., De Vries, T. (1952). Some Aliphatic Nitro Compounds and n-Butyl Nitrate in Nonaqueous Solvents. Analytical Chemistry, 24(6), 971-973.
acetonitrile;Acetonitrile;ACN(ATN,AN,CAN);InChI=1S/C2H3N/c1-2-3/h1H3;CC#N;3.362;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
dimethyl carbonate;dimethyl carbonate;DMC;InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3;COC(=O)OC;2.260;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
fluoromethyl methyl carbonate;monofluorinated dimethyl carbonate;MFDMC;InChI=1S/C3H5FO3/c1-6-3(5)7-2-4/h2H2,1H3;COC(=O)OCF;2.844;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
