MolId;Electron affinity (eV);Reduction free energy (eV)
6e387ff667eac339765e20c257db14a9-C4F1H8O2P1-0-1;0.475202;-4.393270
6e184145e0a3d59cf41deb7a48736e1a-C4F1H8O2P1-0-1;3.480063;-3.641399
82453decb15fa86619f405c2255afd24-F1N1O3S2-0-1;2.541562;-4.846668
c01bdfc12dd37e8f9b75769be4ff7135-C6H10O6-0-1;0.614032;-0.753708
13fde7cb21aa0bae798661910af042f9-C5F2H6O3-0-1;4.203264;-4.786887
9a80e7d3b8cba52608bfe53c2b6db0ac-C3F3H2O2P1-0-1;2.629358;-3.350772
7effebabf4adbd155b4aac995e62d37b-C5F2H6O3-0-1;4.503998;-4.971486
2c96eb4288d63b2a9437ddd4172e67f3-H2O1-0-1;0.490449;-0.613933
eefdfcd29fba955b8e8691b85f4badd3-C3F1H4O3P1-0-1;2.664448;-3.225675
620346cfe2e5fd708d38ad59137e7e65-C3F1H4O3P1-0-1;3.872686;-4.119503
05178f156d01553929413f706874b78a-C2F1O2P1-0-1;3.911313;-4.268973
6d3cb14458ca8bd6d2815732a5844caa-C2F1O2P1-0-1;2.717432;-2.415371
91c8d2920d7fae87132a81b95c07dd4a-C2F1O2P1-0-1;4.100789;-6.221765
0ab022f73af45db70b5abc61e7cc5bc6-C3H1O2P1-0-1;4.296534;-4.742611
796506dbd3f3230e3d246a59ef72ecb3-C3F2H3O4P1-0-1;0.629850;-1.233990
a3b8cb94733e47a4966a08138fd78064-C2H6O2-0-1;-0.184208;0.106103
96b8af3838777f9f3e6b972d5aa3a84f-C4F1H8O3P1-0-1;2.079434;-2.412756
5e15a57678ef5b22d37ef6cc5dbda8a3-C4F1H8O3P1-0-1;0.449736;-4.443994
84a635271c4fddb04b12de734b6e0350-C4F1H8O3P1-0-1;2.426343;-3.049675
82e454f28d45cd2eaf051cbfb3804793-C4F1H8O3P1-0-1;3.329710;-4.123605
eab256ea76e458e90d49eaa61c4423a4-C3H2O4-0-1;1.682153;-2.633930
58bf453b2da0fa442f8213e43d1fcb28-C3H2O4-0-1;0.858039;-2.272936
28db6a82af56b90b126446758dd96749-C4H6O3-0-1;1.718892;-2.527952
2a523d412b04d31a1160fdb5962b3724-C4H6O3-0-1;2.960800;-3.796720
7daa5fbb02de5e72b0368d31249f24e5-C4H6O3-0-1;0.234357;-0.936700
8e12f0e9d0bcddddc5919ed33f643e1e-C3F2H1O3P1-0-1;4.478825;-5.230402
20aa5b08677c6496f350080e4d039a60-C3F1H6O3P1-0-1;3.290456;-4.033409
0184135e4f900328a3c661dd5600d9a8-C3H6O4-0-1;0.537132;-0.641728
bb7fccf8e480fc83a39edf4843d93c6c-C2F3H2O2P1-0-1;2.555459;-3.707432
b7f4432b69c68f4865160e1bdad6ef9a-C2F3H2O2P1-0-1;2.679970;-3.425347
73d82496d43b06e56f25c4a0d106f468-C2F3H2O2P1-0-1;0.121140;-1.688623
390b4ebf4b758be7382327cd87d28e99-C5F1H7O2-0-1;3.695673;-4.614592
0d40ed1ae2549562537c4d2ef026dc32-C2F3H2O1P1-0-1;2.094619;-3.294169
f5c0d32cb4243e77b18ae286bc39a8db-C2F3H2O1P1-0-1;2.557022;-3.278940
31ebd083e3d73bfad23b4361f9fb48e6-C2F2H3O2P1-0-1;0.412089;-1.899721
079282e8951ef25043cc187a1eeeba61-C3F3H2O3P1-0-1;2.719855;-3.481499
3c248ee85a538adb3b04a15c91ad0bfd-C3F2H5O2P1-0-1;1.891062;-2.415050
956a458d86d5a327087383cc45d2429c-C2F3H4O1P1-0-1;0.337551;-1.278810
b0626fbc4250f17418f086afc0c04c88-C6F2H6O5-0-1;2.552987;-4.936331
6afc8b87d2decd8d32bf667ccaab0be2-C6F2H6O5-0-1;2.620134;-4.779203
db3b5309b96fef654ff39e1c4277f277-C3F1O2P1-0-1;4.817117;-5.450739
a3aec91fc4c5258bc56344e921ff3e93-C4F3H6O2P1-0-1;2.244795;-2.341018
fc731b7e2ac2b605df35e96e8b399b60-C4F3H6O2P1-0-1;0.595370;-1.654588
59b4374c1833abf195a8a9803de080d5-C4F3H6O2P1-0-1;1.844666;-1.547923
2b5a6c235e3f51a6f43ac533253cd165-C4F3H6O2P1-0-1;2.842851;-4.167470
63bc2536bdd693b139805f016e5af60a-C4F3H6O2P1-0-1;1.865545;-1.517732
0a9c070d174be308780714f4382ea3f3-C4F3H6O2P1-0-1;2.612086;-1.483922
67ad0b3efe8f5d2ec4f72bc8187f179b-C3F1O3P1-0-1;4.912626;-5.524099
ac6fcf62cb6e30142dd0bdbff7f2fd11-C3F1O3P1-0-1;4.177633;-4.395298
d17ad8c007a93456b5bf7857216292ea-C3F2H5O3P1-0-1;1.944632;-1.689114
92e536266b92af9c064e48eaa7ac26b0-C3F3H4O3P1-0-1;2.819840;-3.376858
43f8252d83847dfaaf3ab6c2c77ca6d0-C3F3H4O3P1-0-1;1.539452;-2.337592
88556cbbe62e7dbea3e0083231abde30-C3F3H4O3P1-0-1;2.057044;-2.586797
d38b7fab6a8f640c8e3659db568bd2b1-C3F1H1O3-0-1;-0.542078;-1.783043
8d243794e8cd04e8c7b6efba19f119f0-C3F1H1O3-0-1;1.822502;-4.182697
09aa54d153627b2ccca466948039c9a7-C3F2H3O2P1-0-1;1.497270;-2.415010
8a8d5e092c1554b7a50056f85c9fba1a-C2F2H1O1P1-0-1;0.733443;-2.039634
3d9837c36dd14ed9e25623a7d6fe7a7d-C2F2H1O1P1-0-1;3.848630;-4.312956
44f0e182e5501acaf1eaf07098040a8b-F1N1O1S2-0-1;2.903653;-3.759265
89021f982c3184bcbb1fef5eef9e6779-C5F1H7O3-0-1;4.010600;-4.721579
ac511fb7ddcc82bc116b10460f810617-C2F2H1O4P1-0-1;2.913863;-3.497505
48520374534fbf55c5079c48d5271d75-C1F2H1O2P1-0-1;2.951064;-2.402905
d9ceb9b7ed76d1fa42d9fa458d30d0e0-C3F1O4P1-0-1;4.077355;-6.557602
223fe308ef4ad013168804f44e01acec-C3F1O4P1-0-1;2.976458;-2.584540
b0f13dcf5a68ddbc4d962cd040cf83fb-C5F2H6O2-0-1;4.402143;-4.894628
e7093972202fe91d98ae41e78912f397-C2F2H1O2P1-0-1;0.556459;-2.418298
8d81e9dbbf2892594400fa6964089385-C2F2H1O2P1-0-1;1.718739;-2.725392
2e35e66ce343dedffd619c98420f83cc-C2F2H1O2P1-0-1;2.687703;-3.979678
1be51dbe1efa6d1c664221f811e57f9f-C2F1H2O2P1-0-1;2.279834;-1.360243
d8f2605de501a7b204d3ab3f48f2758d-C2F1H2O2P1-0-1;2.273369;-3.212423
712e795618e0acbdd0c4b57a53551e0a-C2H3O3P1-0-1;1.823437;-2.516681
c7f552cb999a7ce124c18bd0725210fe-C2F2H1O3P1-0-1;1.978219;-2.958307
be4f0f90e01062df9189f824ca607fd3-C2F2H1O3P1-0-1;3.100633;-4.364357
70419a2a17e6a5fd24a81a9156bb713d-C4F4H7O3P1-0-1;3.302315;-4.208745
c3f9f22ce28b83bb6492f32b439bc138-C3F3O4P1-0-1;0.515666;-2.738809
935ab72749fc46385c6efadb4a3659cf-C3F1H3O3-0-1;-0.711475;-1.242577
3c79b65d20f3023daefe4349b75b936d-C4F1H3O5-0-1;2.417078;-4.787318
dc3af32f0ebff3aabc993e46eecf9c12-C2F2H3O1P1-0-1;0.315614;-1.058519
571bceae46fb809b0f9afa74166cc098-F3O1P1-0-1;0.510964;-2.252642
14ecbf9adffeab91c43accfd325fddc4-C4H4O6-0-1;0.340096;-1.235517
77e36ea5825316cb2ce160bb69df140e-C4H4O6-0-1;2.422182;-2.959972
8a5050e998b7b28682f72b317573f938-C4H4O6-0-1;3.744541;-4.498461
82578fc54f1b73dbc927161288404fcf-C4F2H7O3P1-0-1;1.970429;-3.139397
f9a8716ff8cf3d1944526f62e864b488-C4F2H7O3P1-0-1;3.432914;-4.234332
ea8d5c1a8759d8ff3368cfac6e8d58bd-C4F2H7O3P1-0-1;3.428391;-4.177787
419d46397555f67fc2e923ed4a98c18d-C4F2H7O3P1-0-1;-0.097245;-1.591994
5cda00256bc78e492ac7cd5328fa32e5-C6H8O6-0-1;0.154961;-0.880864
14087bb55f635f76e12b515c4caab80f-C6H8O6-0-1;2.063290;-2.695240
60622cd678e3e23579c8ea21ccdcd939-C6H8O6-0-1;3.836383;-4.538431
2d83ec2708a54987ba5f21a518c2025c-C4F4H5O3P1-0-1;2.716677;-3.552795
aa6cf6f2f061f54b089a5e2740c5738c-C4F4H5O3P1-0-1;3.314800;-4.197672
8fcf6da3917e28613ae02746eb4413ed-C4F4H5O3P1-0-1;3.022693;-3.808512
42c1f80fccf1c7cd705908378384f551-C4F4H5O3P1-0-1;1.991220;-2.568757
908e70f5f0342915fd78ed3b98289086-C4F4H5O3P1-0-1;2.700889;-3.082984
7983f518ec5f0e8d6ce067a43780ccd2-C4F4H5O3P1-0-1;0.240754;-2.157353
691ec7ecaddf547e284a85d6057b5da1-C2F3O1P1-0-1;0.809482;-2.433834
0a520d0e09c071cab5ba79f842785136-F2H1O2P1-0-1;0.881615;-1.564812
bea9f8f92f17ce7b21d77ac7b2ab96de-C3H4O4-0-1;2.292568;-2.762788
afe6a2932a4dadd9ffbafd0f618c2197-C3H4O4-0-1;-0.226023;-0.806694
578515426dfd7d00ce4f8feeb5e7dc72-C3H4O4-0-1;3.281755;-3.867602
7fa3376c2653bf2b400a3716928564a8-C4F1H7O2-0-1;3.110431;-3.852019
0d5b5afbc48149f2a157ada863e3b093-C4F1H7O2-0-1;0.953001;-1.574097
dc9d1683439687356a04502031ecf779-C3H3O3P1-0-1;3.977224;-4.183075
7bd57fea6c57e333f47b8062ceeea609-C3H3O3P1-0-1;2.760162;-3.242153
6ecda3f5fc589415cdee44cf5cf40122-C3H1O3P1-0-1;4.191931;-4.410900
cfd5075ae4fc772d2f2b95b41c4e8035-C2F3O2P1-0-1;0.575180;-2.784476
2881971a29bc414c0a79cf1a019df7d8-C6H10O5-0-1;0.609902;-0.761888
78d898a1a2131b55b8d4ce9c4fb514fa-C1F1H2O3P1-0-1;3.229894;-4.081656
1548e6e969e6678853e16a9d3b891995-C3F3H6O2P1-0-1;3.561795;-4.101781
9b0a84f6bcd49a0e426f3992c5435d4e-C3F1H6O2P1-0-1;3.577742;-3.519178
6040c3b4c4bc1f39915dd6ae10f38081-C1F3N1O2S2-0-1;4.798148;-5.244581
c4fb0d278453fb0bae00d353e83bedd6-C1F3N1S2-0-1;3.949289;-4.202623
7ff8e52a1d90eec55fd84c181ec7c6ff-C3F1H2O3P1-0-1;2.774788;-3.381303
0cb31ae070376b2df1705bc872f553f1-C3F1H2O3P1-0-1;3.982765;-4.267437
4d9e4ba7f6274b1c33a7cde73ab7fea4-C3F1H2O3P1-0-1;4.218074;-3.309661
ac23131feb944800b5d02fa5e292e6d0-C3F1H2O3P1-0-1;3.972843;-4.297348
dd955e703d6c0827f99f92d9ec9ddefb-C2F3H4O2P1-0-1;0.068024;-0.950255
ed2aaaf49ed7c7beb9aff5f288bcac16-C2F3H4O2P1-0-1;0.183088;-1.755633
82eb0ed55f3099cfa273cd4a2c22b3f9-C3H3O2P1-0-1;3.887730;-4.370555
778aa819b51f24af08b9500e29ee88f8-C3F2H3O3P1-0-1;1.740859;-2.682444
224f1c1ef0de881ba40b47a8c0e482fb-C3F2H3O3P1-0-1;0.550959;-1.153599
6a749e8aa4b69eaa368d2447ae1be167-C2H1O3P1-0-1;2.448946;-2.801662
936e9e0c9c07a526ac0e8e4178ff7ed9-C2H1O3P1-0-1;3.192390;-3.913931
2b2beeb5c0de15bfe309a1a9166f58bf-C4F3H6O3P1-0-1;-0.006698;-0.819805
3ae7da5ea8451513ecb9a50c5ce58d6e-C4F3H6O3P1-0-1;-0.475432;-1.641944
04929a667d04a50c4640d3e4bc6169ce-C4F3H6O3P1-0-1;3.271250;-4.211225
845e0ebd5c73aedbd5f13374265969af-C4F3H6O3P1-0-1;1.877078;-1.738599
c506165f6cc71a02fcd88568fa86271c-C4F3H6O3P1-0-1;4.556232;-5.022474
1bb2e75cce5131e755ed9eba1c6f763a-C4F4H7O2P1-0-1;4.600744;-5.030816
5a74d769f03b500059d19e7f8772cdd0-C4F4H7O2P1-0-1;3.138416;-3.785491
1555a9ae48f02c7055964e3d8e1027ff-C4F4H7O2P1-0-1;3.447344;-4.193402
06bf74e46db587e6b52d7cfd3d7f32ce-C2F1H4O3P1-0-1;2.623199;-3.209790
97da17e94c50f325d7832b5f8eb42c99-C4F3H6O3P1-0-1;2.631979;-1.648264
333d1e44a799c7e0b3678a352eb68f13-C4F2H7O2P1-0-1;-0.122794;-0.689408
3c7628b0c58ea48032eaafe63ff375fb-C4F2H7O2P1-0-1;2.655381;-3.291423
49a6c47904d5071bf495ef62289c7747-C4H10O2-0-1;-0.336718;0.266764
20a1cb1b939d750d91d02d795b402b61-C6F2H6O4-0-1;2.285952;-4.808303
bf967f866014d1510bcfba7aebca3b2f-F1N1O2S2-0-1;4.760026;-5.238297
09f20ad4010955c45910a3394aa3ce0e-C4F3H8O3P1-0-1;3.208122;-4.091437
4548b7fbbfd9e0216d5dcd9cb437c65b-C3F3H2O4P1-0-1;2.682009;-3.492491
44e6990c1b3c514ecacef0660e0c6423-C3F3H2O4P1-0-1;2.678411;-3.370317
136e064da88dfc20b606f64102678a51-C4F4H5O2P1-0-1;3.878850;-4.944639
5f684626cf2d0adf9ebf421436c7e8ed-C4F4H5O2P1-0-1;4.388131;-5.862085
e047a270f0060f5ca0f7b3611cc3da3c-C4F4H5O2P1-0-1;3.258204;-3.926737
123aa122a965a5d72482b60c4faaeac5-C3F1H2O2P1-0-1;3.953197;-4.428573
e1b3ee6876e218708f14970ee8ce564d-C3F1H2O2P1-0-1;3.923575;-4.389664
ffa722446da2bdce8596e58b0325e77e-C2F1H4O2P1-0-1;2.054329;-2.455721
c639d1597e6b8d3cc788eb0f79519b09-C2F1H4O2P1-0-1;2.231240;-2.827200
9a272b9f71079ea8cb63952bff4d6859-C2F1H4O2P1-0-1;0.093817;-0.962825
d209b7fca40a0075ae08a14ea4e99f9b-C3F1H4O4P1-0-1;2.629765;-3.040956
913a46f02fa940717e1a86f1556fad4e-C4H8O3-0-1;-1.317925;-0.712277
246afdd97110ea78e150fb138cf2ea92-C5H8O2-0-1;2.002350;-2.620939
3aab79c7f56d26cbfa207b305170d3fd-C5H8O2-0-1;0.846341;-1.455803
a59e6c1837d2d64831fe45170e6996c9-C5H8O2-0-1;0.184821;-1.164020
