MolId;Ionization potential (eV);Oxidation free energy (eV)
6e387ff667eac339765e20c257db14a9-C4F1H8O2P1-0-1;3.496695;3.500465
6e184145e0a3d59cf41deb7a48736e1a-C4F1H8O2P1-0-1;5.024186;4.858813
82453decb15fa86619f405c2255afd24-F1N1O3S2-0-1;9.253000;9.730671
c01bdfc12dd37e8f9b75769be4ff7135-C6H10O6-0-1;9.452292;8.193850
13fde7cb21aa0bae798661910af042f9-C5F2H6O3-0-1;7.075598;6.257066
9a80e7d3b8cba52608bfe53c2b6db0ac-C3F3H2O2P1-0-1;7.404212;6.774019
7effebabf4adbd155b4aac995e62d37b-C5F2H6O3-0-1;6.711930;5.995632
2c96eb4288d63b2a9437ddd4172e67f3-H2O1-0-1;9.709358;9.495901
eefdfcd29fba955b8e8691b85f4badd3-C3F1H4O3P1-0-1;7.288110;6.116099
620346cfe2e5fd708d38ad59137e7e65-C3F1H4O3P1-0-1;5.524593;5.220337
05178f156d01553929413f706874b78a-C2F1O2P1-0-1;5.981738;5.774130
6d3cb14458ca8bd6d2815732a5844caa-C2F1O2P1-0-1;7.931065;7.287778
91c8d2920d7fae87132a81b95c07dd4a-C2F1O2P1-0-1;7.331582;7.069764
0ab022f73af45db70b5abc61e7cc5bc6-C3H1O2P1-0-1;5.759662;5.418308
796506dbd3f3230e3d246a59ef72ecb3-C3F2H3O4P1-0-1;7.720061;7.454721
a3b8cb94733e47a4966a08138fd78064-C2H6O2-0-1;8.228269;7.013445
96b8af3838777f9f3e6b972d5aa3a84f-C4F1H8O3P1-0-1;8.371394;7.506829
5e15a57678ef5b22d37ef6cc5dbda8a3-C4F1H8O3P1-0-1;5.928140;5.224473
84a635271c4fddb04b12de734b6e0350-C4F1H8O3P1-0-1;4.394422;4.236806
82e454f28d45cd2eaf051cbfb3804793-C4F1H8O3P1-0-1;3.660518;3.207009
eab256ea76e458e90d49eaa61c4423a4-C3H2O4-0-1;7.130058;6.443408
58bf453b2da0fa442f8213e43d1fcb28-C3H2O4-0-1;7.614148;6.842255
28db6a82af56b90b126446758dd96749-C4H6O3-0-1;6.597026;5.706547
2a523d412b04d31a1160fdb5962b3724-C4H6O3-0-1;4.663668;3.800179
7daa5fbb02de5e72b0368d31249f24e5-C4H6O3-0-1;7.247896;6.802940
8e12f0e9d0bcddddc5919ed33f643e1e-C3F2H1O3P1-0-1;5.774423;5.150287
20aa5b08677c6496f350080e4d039a60-C3F1H6O3P1-0-1;3.862049;2.982550
0184135e4f900328a3c661dd5600d9a8-C3H6O4-0-1;8.353898;7.883913
bb7fccf8e480fc83a39edf4843d93c6c-C2F3H2O2P1-0-1;7.301580;6.473021
b7f4432b69c68f4865160e1bdad6ef9a-C2F3H2O2P1-0-1;7.563863;6.881873
73d82496d43b06e56f25c4a0d106f468-C2F3H2O2P1-0-1;7.845036;7.216842
390b4ebf4b758be7382327cd87d28e99-C5F1H7O2-0-1;4.685543;3.930487
0d40ed1ae2549562537c4d2ef026dc32-C2F3H2O1P1-0-1;6.677735;5.860437
f5c0d32cb4243e77b18ae286bc39a8db-C2F3H2O1P1-0-1;7.328799;6.702114
31ebd083e3d73bfad23b4361f9fb48e6-C2F2H3O2P1-0-1;7.726288;7.248042
